Frequency(Hz),IC(Re),IC(-Im)
316.6207,47062.183,2972.512
312.806,47097.66,2985.846
308.9913,47136.511,2981.607
305.1766,47136.418,3008.282
301.3619,47175.277,3001.82
297.5472,47210.763,3004.038
293.7325,47246.25,3001.809
289.9177,47249.543,3028.703
286.103,47285.035,2988.67
282.2883,47320.528,3019.797
278.4736,47323.83,3011.112
274.6589,47359.328,3048.912
270.8442,47394.827,3022.221
267.0295,47433.722,3029.104
263.2148,47433.641,3031.323
259.4001,47469.145,3058.006
255.5854,47508.052,3033.754
251.7707,47543.561,3053.766
247.956,47582.477,3036.186
244.1413,47653.58,3053.975
242.2339,47617.954,3053.973
240.3266,47653.506,3053.97
238.4192,47656.881,3056.411
236.5118,47656.845,3058.633
234.6045,47692.4,3065.304
232.6971,47695.779,3072.195
230.7898,47731.337,3067.744
228.8824,47731.302,3081.089
226.9751,47770.281,3061.285
225.0677,47770.247,3065.732
223.1604,47805.809,3072.404
221.253,47809.198,3070.397
219.3457,47809.164,3070.395
217.4383,47848.156,3072.838
215.531,47848.123,3072.836
213.6236,47883.691,3077.284
211.7162,47887.088,3073.052
209.8089,47887.056,3077.5
207.9015,47922.627,3077.498
205.9942,47961.634,3075.491
204.0868,47961.603,3082.165
202.1795,47961.571,3071.036
200.2721,48000.585,3075.705
198.3648,48000.554,3089.056
196.4574,48036.132,3073.476
194.5501,48075.155,3075.92
192.6427,48075.125,3075.918
190.7354,48110.706,3064.787
188.828,48110.677,3073.688
186.9207,48114.095,3082.81
185.0133,48149.68,3076.131
183.1059,48185.265,3082.806
181.1986,48188.689,3085.251
179.2912,48224.278,3087.476
177.3839,48295.482,3087.474
175.4765,48298.915,3083.241
173.5692,48334.507,3076.561
171.6618,48334.48,3081.011
169.7545,48373.539,3081.231
167.8471,48373.512,3094.587
165.9398,48409.108,3085.68
164.0324,48448.175,3083.673
162.1251,48448.149,3085.898
160.2177,48483.748,3083.67
158.3103,48483.723,3074.762
156.403,48522.8,3086.114
154.4956,48558.402,3081.659
152.5883,48558.378,3092.791
150.6809,48597.463,3084.104
148.7736,48633.068,3081.876
